frame_num,frame_path,left_elbow_angle,right_elbow_angle,left_knee_angle,right_knee_angle,shoulder_rotation,hip_rotation,trunk_separation,left_wrist_height,right_wrist_height
66,frame_0066.jpg,,,,,,,,,
67,frame_0067.jpg,,,,,,,,,
68,frame_0068.jpg,,,,,,,,,
69,frame_0069.jpg,,,,,,,,,
70,frame_0070.jpg,,,,,,,,0.1,
71,frame_0071.jpg,,,,,,,,,
72,frame_0072.jpg,,157.3,,,,,,,0.5
73,frame_0073.jpg,,,,,,,,,
74,frame_0074.jpg,,,,,,,,,
75,frame_0075.jpg,,,,,,,,,
76,frame_0076.jpg,,,,,,,,,
77,frame_0077.jpg,,,,,,,,,
78,frame_0078.jpg,,,,,,,,,
79,frame_0079.jpg,,,,,147.6,,,,
80,frame_0080.jpg,,165.0,,,38.3,12.0,26.3,,0.6
81,frame_0081.jpg,,,,,23.8,2.2,21.6,,
82,frame_0082.jpg,,,,,,,,,
83,frame_0083.jpg,,,,,,,,,
84,frame_0084.jpg,,,,,,,,,
85,frame_0085.jpg,158.4,,,,,,,0.4,0.4
86,frame_0086.jpg,,,,,,,,,
87,frame_0087.jpg,,,,,,,,,
88,frame_0088.jpg,,,,,,,,,
89,frame_0089.jpg,,178.7,,,97.8,,,0.6,0.5
90,frame_0090.jpg,,150.2,,,41.8,,,0.5,0.5
91,frame_0091.jpg,,,,,,,,,
92,frame_0092.jpg,,,,,,,,,
93,frame_0093.jpg,,,,,,,,,
94,frame_0094.jpg,,,,,,,,,
95,frame_0095.jpg,,,,,,,,,
96,frame_0096.jpg,,,,,,,,,
97,frame_0097.jpg,,,,,,,,,
98,frame_0098.jpg,,,,,,,,,
99,frame_0099.jpg,,162.0,,,,,,,0.5
100,frame_0100.jpg,,,,,,,,,
